Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,1.145175260169747,61.80060020006669,0.8877371719341405,74.36721991701245
2,0.8145951758407767,72.74424808269423,0.6918559179006033,77.20954356846472
3,0.7205245250234563,74.86940091141491,0.7056245431303978,78.91078838174273
4,0.6703024634595955,76.11426030899189,0.6254488145870878,79.90663900414938
5,0.6410288883858012,76.79004112481938,0.6068402970370078,80.70539419087137
6,0.6188592897624753,77.63921307102368,0.6617746991136216,81.12033195020747
7,0.6036244710618537,78.04823830165611,0.5621896809004,81.75311203319502
8,0.5924676714377587,78.20829165277314,0.5737360992179011,82.01244813278008
9,0.5815634218973252,78.50839168611759,0.5687262662593892,82.45850622406638
10,0.5780250576151215,78.67733689007447,0.5452597527487191,82.84232365145228
11,0.5706874870007611,78.87962654218073,0.5776125808178589,82.99792531120332
12,0.5656461842559479,78.91074802712015,0.46742122963268234,83.45435684647303
13,0.5580825363186481,79.05079470934756,0.4794391982553416,83.21576763485477
14,0.5543065454763165,79.07747026786707,0.5803687178856687,83.43360995850622
15,0.555728066240995,79.1997332444148,0.5078256228778338,83.62033195020747
16,0.5513717808348695,79.2108480604646,0.5475540770008075,83.44398340248962
17,0.5457105168153348,79.51983994664889,0.5127981148462817,83.57883817427386
